City_ID,City,Country,Max Temp,Description,Lat,Lng,Current Description,Hotel Name
186,Samarai,PG,79.72,clear sky,-10.6167,150.6667,clear sky,Nuli Sapi
188,Westport,US,79.14,scattered clouds,41.1415,-73.3579,scattered clouds,The Westport Inn
189,Ternate,ID,81.19,overcast clouds,0.8,127.4,overcast clouds,Sahid Bela Ternate Hotel
191,San Cristobal,VE,76.75,overcast clouds,7.7669,-72.225,overcast clouds,Pirineos
194,Kavieng,PG,82.26,overcast clouds,-2.5744,150.7967,overcast clouds,Nusa Island Retreat
197,Laguna,US,95.14,clear sky,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
199,Mahibadhoo,MV,83.34,overcast clouds,3.7833,72.9667,overcast clouds,Omadhoo Inn
204,Kamakwie,SL,81.79,few clouds,9.5,-12.2333,few clouds,White House Hotel
205,Ballina,AU,71.78,clear sky,-28.8667,153.5667,clear sky,Ramada Hotel & Suites by Wyndham Ballina Byron
210,Odweyne,SO,77.5,clear sky,9.4092,45.06399999999999,clear sky,Eng Hiirey House
213,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,scattered clouds,Shandrani Beachcomber Resort & Spa
215,Conde,BR,75.9,broken clouds,-7.2597,-34.9075,broken clouds,Pousada Beija Flor
216,Iranshahr,IR,77.4,clear sky,27.2025,60.6848,clear sky,نیک سرشت
219,Tampakan,PH,74.39,broken clouds,6.4442,124.9264,broken clouds,AJ Hotel
222,Sawakin,SD,88.52,clear sky,19.1059,37.3321,clear sky,فندق الدويم
223,Panacan,PH,80.62,light rain,9.2463,118.4082,light rain,Mom's Place Resort
224,Teknaf,BD,81.68,broken clouds,20.8624,92.3058,broken clouds,Forestry Guesthouse
226,Lewistown,US,79.16,overcast clouds,40.5992,-77.5714,overcast clouds,Quality Inn & Suites
227,Tuy Hoa,VN,77.23,overcast clouds,13.0833,109.3,overcast clouds,CenDeluxe Hotel Tuy Hoa
236,Russell,US,83.8,clear sky,32.3502,-85.1999,clear sky,Macs
240,Buraydah,SA,82.99,clear sky,26.326,43.975,clear sky,Mövenpick Qassim
241,Isangel,VU,77.9,scattered clouds,-19.55,169.2667,scattered clouds,Tanna Lodge
246,Bubaque,GW,79.47,broken clouds,11.2833,-15.8333,broken clouds,"Casa Dora, Bubaque"
247,Neiafu,TO,79.48,few clouds,-18.65,-173.9833,few clouds,Mystic Sands Beachfront Accommodation
249,Vila Velha,BR,74.48,few clouds,-20.3297,-40.2925,few clouds,Hotel Vitória Palace
251,Coffs Harbour,AU,72.14,overcast clouds,-30.3,153.1333,overcast clouds,Aquajet Motel
254,Cabo San Lucas,MX,86.61,overcast clouds,22.8909,-109.9124,overcast clouds,Vista Roof Restaurant
255,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,light rain,Le Rocher de Tahiti
259,Umm Lajj,SA,83.82,clear sky,25.0213,37.2685,clear sky,Moon light Furnished Units
261,Saint Paul,US,74.75,scattered clouds,44.9444,-93.0933,scattered clouds,"InterContinental Saint Paul Riverfront, an IHG Hotel"
262,San Patricio,US,94.17,clear sky,28.017,-97.5169,clear sky,"Motel 6 Sinton, TX"
267,Coyah,GN,81.45,broken clouds,9.75,-13.4167,broken clouds,Motel Canal+
271,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,light rain,Vanira Lodge
273,Clinton,US,82.96,broken clouds,42.586999999999996,-82.9199,broken clouds,River's Edge
274,Itarema,BR,78.3,overcast clouds,-2.9248,-39.9167,overcast clouds,"Sea Lounge! Bar, Club & Restaurant"
276,Kualakapuas,ID,73.4,scattered clouds,-3.0091,114.3876,scattered clouds,Guest House Izonk
277,Ormara,PK,82.89,clear sky,25.2088,64.6357,clear sky,Kenara Colony house for Rent
279,Boca Do Acre,BR,77.16,heavy intensity rain,-8.7522,-67.3978,heavy intensity rain,Hotel Sao Pedro
280,Chuari Khas,IN,80.71,overcast clouds,32.4333,76.0167,overcast clouds,PWD Rest House
283,Anito,PH,77.65,overcast clouds,12.4497,125.2886,overcast clouds,El Felix Cottages
284,Sokoni,TZ,80.38,clear sky,-6.4333,39.55,clear sky,Ujamaa Beach Resort
285,San Policarpo,PH,80.82,overcast clouds,12.1791,125.5072,overcast clouds,Agapita M. Nicart
286,Hobyo,SO,80.06,scattered clouds,5.3505,48.5268,scattered clouds,Iftin hotel hobyo
290,Acarau,BR,78.76,overcast clouds,-2.8856,-40.12,overcast clouds,castelo pizzaria
291,Ibra,OM,76.06,clear sky,22.6906,58.5334,clear sky,مزرعة راحة النفوس المنزفة
292,Ingham,US,78.98,scattered clouds,42.6,-84.3833,scattered clouds,Sunset Mobile Home Park
294,Denpasar,ID,78.46,few clouds,-8.65,115.2167,few clouds,OYO 3156 Hotel Warta 2
296,Axim,GH,80.38,scattered clouds,4.8699,-2.2405,scattered clouds,Axim Beach Resort And Spa
297,Namibe,AO,71.85,clear sky,-15.1961,12.1522,clear sky,Hotel Chik Chik Namibe
299,Ukiah,US,80.44,clear sky,39.1502,-123.2078,clear sky,Hampton Inn Ukiah
300,Kaman,IN,98.28,broken clouds,27.65,77.2667,broken clouds,Dr.kishan kaman
302,Tumpat,MY,78.49,overcast clouds,6.1978,102.171,overcast clouds,Baan Tanyong B&B
303,Rabkavi,IN,77.54,overcast clouds,16.4667,75.1,overcast clouds,Dareppa Hindu
304,Matay,EG,73.4,broken clouds,28.419,30.7792,broken clouds,Nag Aespen
306,Galesong,ID,75.22,broken clouds,-5.3166,119.3661,broken clouds,Sapriadi Appy
309,Doka,SD,83.91,few clouds,13.5167,35.7667,few clouds,Um Rakuba Refugee Camp
311,Coahuayana,MX,89.94,scattered clouds,18.7333,-103.6833,scattered clouds,El rranchito michuacan de ocampos
313,Karratha,AU,73.29,clear sky,-20.7377,116.8463,clear sky,ibis Styles Karratha
326,Puerto Escondido,MX,90.43,scattered clouds,15.85,-97.0667,scattered clouds,Aldea del Bazar Hotel and Spa
327,Orocue,CO,83.84,overcast clouds,4.7912,-71.3354,overcast clouds,Hotel Brisas de San Miguel
330,Buala,SB,82.04,few clouds,-8.145,159.5921,few clouds,Maringe Lagoon Lodge
331,Kalmunai,LK,78.93,broken clouds,7.4167,81.8167,broken clouds,VS Villa
332,Uvinza,TZ,70.05,overcast clouds,-5.1036,30.3911,overcast clouds,Crown Lodge and lounge
333,Saquarema,BR,75.24,overcast clouds,-22.92,-42.5103,overcast clouds,Hotel Fazenda Sol e Lua
336,Cockburn Town,TC,79.05,overcast clouds,21.4612,-71.1419,overcast clouds,Osprey Beach Hotel
340,Sao Felix Do Xingu,BR,76.19,overcast clouds,-6.6447,-51.995,overcast clouds,Rio Xingu Camping
341,Pandan,PH,79.32,overcast clouds,14.0453,124.1694,overcast clouds,Bonifacio Lodge
342,Ko Samui,TH,84.54,overcast clouds,9.5357,99.9357,overcast clouds,The Passage
347,Teluk Nibung,ID,75.88,light rain,3.0010000000000003,99.8164,light rain,Hotel Assyifa
352,Sorong,ID,77.68,overcast clouds,-0.8833,131.25,overcast clouds,Waigo Splash Hotel
357,Itaituba,BR,75.94,moderate rain,-4.2761,-55.9836,moderate rain,Hotel Campos
359,Kirakira,SB,82.09,scattered clouds,-10.4544,161.9205,scattered clouds,SanBiz Lodge
361,Spencer,US,75.31,scattered clouds,43.1414,-95.1444,scattered clouds,Days Inn by Wyndham Hotel Spencer IA
366,Rawlins,US,73.35,clear sky,41.7911,-107.2387,clear sky,"Holiday Inn Express Rawlins, an IHG Hotel"
367,Dhidhdhoo,MV,82.0,overcast clouds,6.8833,73.1,overcast clouds,Dhidhoo beach
368,Camocim,BR,79.29,overcast clouds,-2.9022,-40.8411,overcast clouds,Ilha Praia Hotel
375,Ipixuna,BR,76.41,overcast clouds,-1.7625,-48.8043,overcast clouds,Chalé do Mato
387,Kisangani,CD,72.41,light rain,0.5167,25.2,light rain,Grand Ramela Hotel
388,Salinopolis,BR,80.56,overcast clouds,-0.6136,-47.3561,overcast clouds,Salinas Park Resort Maçarico AP101
390,Gabu,GW,87.82,overcast clouds,12.2833,-14.2167,overcast clouds,Hotel karsa
393,Ardmore,US,95.47,clear sky,34.1743,-97.1436,clear sky,"Motel 6 Ardmore, OK"
395,Kavaratti,IN,81.84,overcast clouds,10.5669,72.642,overcast clouds,Hotels in Lakshadweep Islands
396,Oranjestad,AW,84.15,few clouds,12.524000000000001,-70.027,few clouds,Divi Village Golf & Beach Resort
397,Inhambane,MZ,70.02,light rain,-23.865,35.3833,light rain,Oceano
399,Waraseoni,IN,89.65,broken clouds,21.75,80.0333,broken clouds,Thakre Bhavan
400,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,overcast clouds,Two Moons Hotel
402,Namatanai,PG,81.79,overcast clouds,-3.6667,152.4333,overcast clouds,Seagulls Inn Namatani
406,Padang,ID,75.25,light rain,-0.9492,100.3543,light rain,Mercure Padang
411,Cartagena Del Chaira,CO,78.66,broken clouds,1.3349,-74.8429,broken clouds,HOTEL LA ROCA
413,Sambava,MG,70.83,clear sky,-14.2667,50.1667,clear sky,Melrose
414,La Reforma,MX,85.42,broken clouds,25.0833,-108.05,broken clouds,Hotel Reforma
417,Abu Dhabi,AE,80.96,clear sky,24.4667,54.3667,clear sky,Beach Rotana
420,Ambon,ID,73.54,scattered clouds,-3.6954,128.1814,scattered clouds,Swiss-Belhotel Ambon
421,Southbridge,US,78.91,broken clouds,42.0751,-72.0334,broken clouds,Southbridge Hotel & Conference Center
422,Asyut,EG,77.45,overcast clouds,27.180999999999997,31.1837,overcast clouds,فندق ميس إيجيبت Miss Egypt Hotel
426,Grand Baie,MU,75.67,clear sky,-20.0182,57.5802,clear sky,Trou aux Biches Beachcomber Golf Resort & Spa
427,Praia,CV,73.33,overcast clouds,14.9215,-23.5087,overcast clouds,LT Aparthotel
431,Ardakan,IR,73.99,clear sky,32.31,54.0175,clear sky,Ardakan Hotel
433,Half Moon Bay,US,78.04,mist,37.4636,-122.4286,mist,"The Ritz-Carlton, Half Moon Bay"
436,Makakilo City,US,82.72,light rain,21.3469,-158.0858,light rain,Marriott's Ko Olina Beach Club
438,Teseney,ER,90.72,clear sky,15.11,36.6575,clear sky,Sabrin Hotel
439,Aswan,EG,86.7,scattered clouds,24.0934,32.907,scattered clouds,Nuba Nile
441,Tocache,PE,77.04,broken clouds,-8.1842,-76.5125,broken clouds,Residencial JATER
443,Correntina,BR,78.22,overcast clouds,-13.3433,-44.6367,overcast clouds,Hotel Pousada dos Sonhos
444,Eyl,SO,82.29,broken clouds,7.9803,49.8164,broken clouds,Amiin Hotel
445,Omaha,US,71.33,scattered clouds,41.2586,-95.9378,scattered clouds,DoubleTree by Hilton Hotel Omaha Downtown
