City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Codrington,AU,-38.2667,141.9667,51.26,77,92,12.91,overcast clouds
80,Zerind,RO,46.6167,21.5167,55.94,69,1,3.44,light rain
81,Esperance,AU,-33.8667,121.9,56.91,75,99,2.19,overcast clouds
82,Guanica,PR,17.9716,-66.908,85.5,71,17,15.75,few clouds
83,Lompoc,US,34.6391,-120.4579,71.62,77,75,14.97,broken clouds
84,Soe,ID,-9.8607,124.284,64.72,95,15,3.15,few clouds
85,Carnarvon,AU,-24.8667,113.6333,65.39,42,0,11.83,clear sky
86,Minas,UY,-34.3759,-55.2377,44.62,65,4,7.74,clear sky
87,Bluff,NZ,-46.6,168.3333,48.0,82,11,8.03,few clouds
88,Ixtapa,MX,20.7,-105.2,91.31,33,78,8.16,broken clouds
89,Deputatskiy,RU,69.3,139.9,16.59,93,100,7.83,light snow
90,Solnechnyy,RU,50.7214,136.6319,42.44,75,100,4.99,overcast clouds
91,Bonavista,CA,48.6499,-53.1147,33.94,78,34,12.33,scattered clouds
92,Georgetown,MY,5.4112,100.3354,80.53,89,40,6.91,scattered clouds
93,Terpsithea,GR,39.6167,22.3667,66.09,77,0,0.0,clear sky
94,Puerto Ayora,EC,-0.7393,-90.3518,74.55,92,83,1.99,broken clouds
95,Urucara,BR,-2.5364,-57.76,76.62,97,98,2.35,moderate rain
96,Goksun,TR,38.021,36.4973,47.93,88,88,4.7,overcast clouds
97,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,15.68,moderate rain
98,Yenotayevka,RU,47.2456,47.0281,60.67,59,95,8.03,overcast clouds
99,Pathein,MM,16.7833,94.7333,79.99,86,40,3.47,scattered clouds
100,Orotukan,RU,62.2667,151.7,35.1,100,100,3.2,overcast clouds
101,Qaanaaq,GL,77.484,-69.3632,25.5,70,100,3.24,overcast clouds
102,Mar Del Plata,AR,-38.0023,-57.5575,51.94,85,91,8.01,overcast clouds
103,Mokshan,RU,53.4365,44.6132,43.83,92,39,7.72,scattered clouds
104,Fortuna,US,40.5982,-124.1573,69.93,73,0,9.22,clear sky
105,College,US,64.8569,-147.8028,51.21,48,100,1.99,overcast clouds
106,Touba,CI,8.2833,-7.6833,73.78,89,80,3.62,broken clouds
107,Ust-Ishim,RU,57.6935,71.1665,54.27,64,100,5.88,overcast clouds
108,Nurota,UZ,40.5614,65.6886,65.61,48,39,3.18,scattered clouds
109,Tuatapere,NZ,-46.1333,167.6833,49.82,70,5,3.56,clear sky
110,Mount Isa,AU,-20.7333,139.5,60.57,77,0,3.44,clear sky
111,Saskylakh,RU,71.9167,114.0833,33.3,100,100,4.97,overcast clouds
112,Tuktoyaktuk,CA,69.4541,-133.0374,35.69,85,97,10.07,overcast clouds
113,Dongsheng,CN,39.8161,109.9776,48.18,19,0,13.98,clear sky
114,Ndele,CF,8.4109,20.6473,75.25,67,98,3.4,overcast clouds
115,Camacha,PT,33.0833,-16.3333,65.62,68,0,2.3,clear sky
116,Martapura,ID,-3.4167,114.85,75.29,100,40,2.3,scattered clouds
117,Paratinga,BR,-12.6906,-43.1842,79.48,42,90,2.1,light rain
118,Inzhavino,RU,52.3185,42.4937,45.16,95,83,8.48,broken clouds
119,Luderitz,NA,-26.6481,15.1594,69.91,31,41,3.85,scattered clouds
120,Ponta Do Sol,PT,32.6667,-17.1,68.72,81,7,5.03,clear sky
121,El Salto,MX,20.3333,-104.5,80.64,32,71,10.85,broken clouds
122,Chuy,UY,-33.6971,-53.4616,53.62,60,29,8.48,scattered clouds
123,Cherskiy,RU,68.75,161.3,30.6,81,85,7.9,overcast clouds
124,Toyooka,JP,35.5333,134.8333,59.74,62,100,0.78,overcast clouds
125,Antofagasta,CL,-23.65,-70.4,60.51,81,93,6.53,overcast clouds
126,Maumere,ID,-8.6199,122.2111,79.03,81,6,3.94,clear sky
127,Libertador General San Martin,AR,-23.8064,-64.7876,61.97,93,87,1.74,overcast clouds
128,Ust-Nera,RU,64.5667,143.2,32.61,95,100,8.25,snow
129,Pochutla,MX,15.7432,-96.4661,88.83,47,100,8.46,overcast clouds
130,Ucluelet,CA,48.9329,-125.5528,54.09,90,100,1.99,overcast clouds
131,Alofi,NU,-19.0595,-169.9187,77.74,54,100,11.45,overcast clouds
132,Kodiak,US,57.79,-152.4072,44.33,64,92,7.34,overcast clouds
